agency_name,fiscal_year,total_budget
BUSINESS INTEGRITY COMMISSION,2019,8978780
CAMPAIGN FINANCE BOARD,2019,43664839
CITY CLERK,2019,5385771
CITY COUNCIL,2019,65077444
CITY UNIVERSITY OF NEW YORK,2019,1274750599
CIVILIAN COMPLAINT REVIEW BOARD,2019,16641746
CIVIL SERVICE COMMISSION,2019,1042623
COMMISSION ON HUMAN RIGHTS,2019,14851996
CONFLICTS OF INTEREST BOARD,2019,2580410
DEBT SERVICE,2019,6700805415
DEPARTMENT FOR THE AGING,2019,376702531
DEPARTMENT OF BUILDINGS,2019,167320208
DEPARTMENT OF CITY PLANNING,2019,40788003
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2019,1260596730
DEPARTMENT OF CONSUMER AFFAIRS,2019,42085961
DEPARTMENT OF CORRECTION,2019,1423251535
DEPARTMENT OF CULTURAL AFFAIRS,2019,194830438
DEPARTMENT OF DESIGN & CONSTRUCTION,2019,553818352
DEPARTMENT OF EDUCATION,2019,25019450972
DEPARTMENT OF EMERGENCY MANAGEMENT,2019,64415382
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2019,1487934381
DEPARTMENT OF FINANCE,2019,299044760
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2019,1749496246
DEPARTMENT OF HOMELESS SERVICES,2019,2249793766
DEPARTMENT OF INFO TECH & TELECOMM,2019,747391054
DEPARTMENT OF INVESTIGATION,2019,54497831
DEPARTMENT OF PARKS AND RECREATION,2019,569005615
DEPARTMENT OF PROBATION,2019,110052942
DEPARTMENT OF RECORDS & INFORMATION SVS,2019,8138679
DEPARTMENT OF SANITATION,2019,1727419666
DEPARTMENT OF SMALL BUSINESS SERVICES,2019,328101420
DEPARTMENT OF SOCIAL SERVICES,2019,9908822026
DEPARTMENT OF TRANSPORTATION,2019,996838865
DEPARTMENT OF VETERANS' SERVICES,2019,4071102
DEPARTMENT OF YOUTH & COMMUNITY DEV,2019,836728666
DISTRICT ATTORNEY BRONX COUNTY,2019,75734795
DISTRICT ATTORNEY KINGS COUNTY,2019,100646500
DISTRICT ATTORNEY NEW YORK COUNTY,2019,125256532
DISTRICT ATTORNEY QUEENS COUNTY,2019,66176537
DISTRICT ATTORNEY RICHMOND COUNTY,2019,15568503
EQUAL EMPLOYMENT PRACTICES COMMISSION,2019,1107859
FINANCIAL INFORMATION SERVICE AGENCY,2019,106183546
FIRE DEPARTMENT,2019,2157172279
HEALTH AND HOSPITALS CORP,2019,869017136
HOUSING PRESERVATION AND DEVELOPMENT,2019,1276065660
INDEPENDENT BUDGET OFFICE,2019,5553283
LANDMARKS PRESERVATION COMM.,2019,6167737
LAW DEPARTMENT,2019,228695847
MANHATTAN COMMUNITY BOARD #1,2019,409964
MANHATTAN COMMUNITY BOARD #10,2019,354080
MANHATTAN COMMUNITY BOARD #11,2019,328436
MANHATTAN COMMUNITY BOARD #12,2019,402126
