agy_nm,fisc_yr,fnding,amt
Department of Social Services,2023,S,673299
Department of Transportation,2023,S,131219
Department of Transportation,2023,OC,11431
Department of Transportation,2023,F,123770
Department of Transportation,2023,IFA,287765
Department of Transportation,2023,CD,0
Department of Transportation,2023,IC,3346
Department of Transportation,2023,C,827855
Department of Youth Services & Community Development,2023,C,857660
Department of Youth Services & Community Development,2023,IC,137223
Department of Youth Services & Community Development,2023,IFA,0
Department of Youth Services & Community Development,2023,S,9724
Department of Youth Services & Community Development,2023,OC,696
Department of Youth Services & Community Development,2023,CD,7405
Department of Youth Services & Community Development,2023,F,113781
Fire Department,2023,S,29111
Fire Department,2023,C,2242632
Fire Department,2023,IC,2894
Fire Department,2023,CD,0
Fire Department,2023,F,73781
Fire Department,2023,IFA,507
Fire Department,2023,OC,203275
New York Public Library,2023,C,171044
New York Public Library,2023,IFA,0
New York Public Library,2023,S,0
New York Public Library,2023,CD,0
New York Public Library,2023,IC,3400
New York Public Library,2023,OC,198
New York Public Library,2023,F,0
Pensions,2023,CD,0
Pensions,2023,C,8956038
Pensions,2023,IC,112254
Pensions,2023,S,32025
Pensions,2023,IFA,0
Pensions,2023,F,0
Pensions,2023,OC,0
Police Department,2023,IC,256707
Police Department,2023,IFA,0
Police Department,2023,S,72962
Police Department,2023,OC,34462
Police Department,2023,F,166842
Police Department,2023,CD,0
Police Department,2023,C,5779812
Queens Public Library,2023,S,0
Queens Public Library,2023,IC,936
Queens Public Library,2023,F,0
Queens Public Library,2023,OC,102
Queens Public Library,2023,IFA,0
Queens Public Library,2023,CD,0
Queens Public Library,2023,C,133511
Research Libraries,2023,OC,0
Research Libraries,2023,CD,0
Research Libraries,2023,IFA,0
Research Libraries,2023,C,32989
Research Libraries,2023,IC,0
Research Libraries,2023,S,0
Research Libraries,2023,F,0
Administration of Children's Services,2024,S,1082301
Administration of Children's Services,2024,C,990296
Administration of Children's Services,2024,IFA,0
Administration of Children's Services,2024,OC,20
Administration of Children's Services,2024,CD,0
Administration of Children's Services,2024,F,1277641
Administration of Children's Services,2024,IC,4795
Brooklyn Public Library,2024,S,0
Brooklyn Public Library,2024,CD,0
Brooklyn Public Library,2024,C,127402
Brooklyn Public Library,2024,IFA,0
Brooklyn Public Library,2024,OC,60
Brooklyn Public Library,2024,IC,1516
Brooklyn Public Library,2024,F,0
City University of New York,2024,F,111522
City University of New York,2024,OC,16284
City University of New York,2024,S,259458
City University of New York,2024,C,742175
City University of New York,2024,IC,152433
City University of New York,2024,IFA,0
City University of New York,2024,CD,0
Department for the Aging,2024,S,56577
Department for the Aging,2024,IFA,0
Department for the Aging,2024,IC,2685
Department for the Aging,2024,CD,362
Department for the Aging,2024,OC,61
Department for the Aging,2024,F,80032
Department for the Aging,2024,C,369634
Department of Citywide Administrative Services,2024,CD,0
Department of Citywide Administrative Services,2024,C,499396
Department of Citywide Administrative Services,2024,F,686
Department of Citywide Administrative Services,2024,S,297849
Department of Citywide Administrative Services,2024,IC,918600
Department of Citywide Administrative Services,2024,OC,105244
Department of Citywide Administrative Services,2024,IFA,1718
Department of Correction,2024,S,1013
Department of Correction,2024,IFA,0
Department of Correction,2024,F,279
Department of Correction,2024,OC,15534
Department of Correction,2024,CD,0
Department of Correction,2024,IC,273
Department of Correction,2024,C,1260475
Department of Cultural Affairs,2024,IFA,347
Department of Cultural Affairs,2024,S,0
Department of Cultural Affairs,2024,CD,0
Department of Cultural Affairs,2024,IC,251
Department of Cultural Affairs,2024,OC,1761
Department of Cultural Affairs,2024,F,429
Department of Cultural Affairs,2024,C,219804
Department of Education,2024,C,14979626
Department of Education,2024,IC,135676
Department of Education,2024,F,4769575
Department of Education,2024,CD,3077
Department of Education,2024,OC,408223
Department of Education,2024,IFA,0
Department of Education,2024,S,13071471
Department of Environmental Protection,2024,F,618
Department of Environmental Protection,2024,C,1522145
Department of Environmental Protection,2024,IC,8632
Department of Environmental Protection,2024,CD,63
Department of Environmental Protection,2024,IFA,78231
Department of Environmental Protection,2024,S,201
Department of Environmental Protection,2024,OC,12762
Department of Health and Mental Hygiene,2024,OC,74683
Department of Health and Mental Hygiene,2024,IFA,0
Department of Health and Mental Hygiene,2024,S,555361
Department of Health and Mental Hygiene,2024,F,606225
Department of Health and Mental Hygiene,2024,C,1086109
Department of Health and Mental Hygiene,2024,IC,21912
Department of Health and Mental Hygiene,2024,CD,0
Department of Homeless Services,2024,F,465218
Department of Homeless Services,2024,CD,405
