agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT FOR THE AGING,INFORMATION/REFERRAL,2017,1101281
DEPARTMENT FOR THE AGING,OFFICE OF SPECIAL PROJECT,2017,449458
DEPARTMENT FOR THE AGING,PROGRAM AND RESOURCES DEV,2017,4535735
DEPARTMENT FOR THE AGING,PUBLIC INFORMATION,2017,1144208
DEPARTMENT FOR THE AGING,RESEARCH AND PLANNING,2017,1344692
DEPARTMENT FOR THE AGING,,2017,16357
DEPARTMENT OF BUILDINGS,BROOKLYN BOROUGH OFFICE,2017,4835299
DEPARTMENT OF BUILDINGS,CENTRAL INSPECTION,2017,14013808
DEPARTMENT OF BUILDINGS,EXECUTIVE OFFICES,2017,5659820
DEPARTMENT OF BUILDINGS,OPERATIONS AND TECHNICAL,2017,34970436
DEPARTMENT OF BUILDINGS,POLICY AND ADMINISTRATION,2017,23366755
DEPARTMENT OF BUILDINGS,QUEENS BOROUGH OFFICE,2017,9870882
DEPARTMENT OF BUILDINGS,RICHMOND BOROUGH OFFICE,2017,1182895
DEPARTMENT OF BUILDINGS,STATEN ISLAND BOROUGH OFFICE,2017,3130380
DEPARTMENT OF BUILDINGS,,2017,37858102
DEPARTMENT OF CITY PLANNING,DEPT OF CITY PLANNING,2017,30473750
DEPARTMENT OF CITY PLANNING,,2017,7206516
DEPARTMENT OF CITYWIDE ADMIN SERVICE,AGENCY CHIEF CONTRACTING OFFICER,2017,5072937
DEPARTMENT OF CITYWIDE ADMIN SERVICE,BQA LABORATORIES,2017,15145
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CENTRAL STOREHOUSE,2017,31703469
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY MESSENGER SERVICE,2017,789692
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY PUBLISHING CENTER,2017,2746687
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CONTRACT ADMIN,2017,376801
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIVISION OF MUNI SUPPLY SERVICES,2017,3313020
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIV OF ADMINISTRATION AND SECURITY,2017,4738825
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DMSS PROCUREMENT,2017,2776558
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRP FINANCIAL SERVICES,2017,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,ENERGY CONSERVATION,2017,660267367
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE AND ADMINISTRATION,2017,31290343
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE DIVISION,2017,10539068
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MANAGEMENT,2017,116314327
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MGMT & CONST,2017,33791142
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FINANCE AND OPERATIONS,2017,2113019
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FLEET MGMT SERVICES,2017,7159405
DEPARTMENT OF CITYWIDE ADMIN SERVICE,GUIDE A RIDE HANDICAPPED ACCES,2017,200014
DEPARTMENT OF CITYWIDE ADMIN SERVICE,LEASE PAYMENT,2017,91361349
DEPARTMENT OF CITYWIDE ADMIN SERVICE,MGMT INFORMATION SERVICES,2017,8270708
DEPARTMENT OF CITYWIDE ADMIN SERVICE,NY ELECTION PROJECT,2017,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,PROPERTY MGMT LEASE OUT,2017,290810
DEPARTMENT OF CITYWIDE ADMIN SERVICE,QUALITY ASSURANCE,2017,2194895
DEPARTMENT OF CITYWIDE ADMIN SERVICE,SURPLUS ACTIVITIES,2017,854779
DEPARTMENT OF CITYWIDE ADMIN SERVICE,TELECOMMUNICATION CONTROL,2017,2028955
DEPARTMENT OF CITYWIDE ADMIN SERVICE,WORKERS EMPLOYMENT PROGRAM,2017,10239
DEPARTMENT OF CITYWIDE ADMIN SERVICE,,2017,122260758
DEPARTMENT OF CONSUMER AFFAIRS,ADJUDICATION,2017,1108286
DEPARTMENT OF CONSUMER AFFAIRS,BUDGET AND ADMINISTRATION,2017,7358246
DEPARTMENT OF CONSUMER AFFAIRS,COMPLAINT/NEIGHBORHOOD OFFICES,2017,703627
DEPARTMENT OF CONSUMER AFFAIRS,COMPUTER SERVICES,2017,2685274
DEPARTMENT OF CONSUMER AFFAIRS,DISCIPLINARY ADVOCATE,2017,115463
DEPARTMENT OF CONSUMER AFFAIRS,FINANCE+MANAGEMENT,2017,3443104
DEPARTMENT OF CONSUMER AFFAIRS,LICENSE ISSUANCE,2017,4301693
DEPARTMENT OF CONSUMER AFFAIRS,OFFICE OF COMMISSIONER,2017,975149
DEPARTMENT OF CONSUMER AFFAIRS,OFF.OF.ASST.COM./GEN COUNSEL,2017,458975
DEPARTMENT OF CONSUMER AFFAIRS,PERSONNEL,2017,309453
DEPARTMENT OF CONSUMER AFFAIRS,,2017,18729012
DEPARTMENT OF CORRECTION,ADOLESCENT RECEPTION DETEN CNT,2017,96552524
DEPARTMENT OF CORRECTION,ALTERNATIVES TO INCARCERATION,2017,1597304
DEPARTMENT OF CORRECTION,ANNA M KROSS CENTER,2017,95595527
DEPARTMENT OF CORRECTION,BELLEVUE HOSPITAL PRISON WARD,2017,10284496
DEPARTMENT OF CORRECTION,BNX HOUSE DETENTION FOR MEN,2017,63739
DEPARTMENT OF CORRECTION,BRONX COURT PENS,2017,6285951
DEPARTMENT OF CORRECTION,BROOKLYN COURT PENS,2017,3506712
DEPARTMENT OF CORRECTION,BROOKLYN HOUSE OF DETENT MEN,2017,14587977
DEPARTMENT OF CORRECTION,CAPITAL DEVEL SUPPORT SERVICES,2017,13548391
DEPARTMENT OF CORRECTION,CORRECTION INDUSTRIES,2017,3474862
DEPARTMENT OF CORRECTION,ELMHURST HOSPITAL PRISON WARD,2017,3248809
DEPARTMENT OF CORRECTION,GEORE R VIERNO CENTER,2017,56669139
DEPARTMENT OF CORRECTION,GEORGE MOTCHAN DENTENTION CNTR,2017,84609735
DEPARTMENT OF CORRECTION,HEALTH AFFAIRS SUB ABUSE +EDUC,2017,81297
DEPARTMENT OF CORRECTION,HEALTH MANAGEMENT,2017,3137911
DEPARTMENT OF CORRECTION,INSPECTIONS,2017,1418974
DEPARTMENT OF CORRECTION,INVESTIGATIONS,2017,6738406
