agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF SANITATION,CHARTER MANDATED SNOW BUDGET,2023,109779392
DEPARTMENT OF SANITATION,CLEAN + COLLECTION ADMIN,2023,41423690
DEPARTMENT OF SANITATION,CLEANING & COLL EXEC MGMT,2023,347730872
DEPARTMENT OF SANITATION,COMMUNITY SERVICES,2023,2385826
DEPARTMENT OF SANITATION,DEPT ADVOCATE/EMPLOYMENT MATTE,2023,710930
DEPARTMENT OF SANITATION,ENFORCEMENT,2023,18749936
DEPARTMENT OF SANITATION,EXECUTIVE MANAGEMENT,2023,98054447
DEPARTMENT OF SANITATION,HUMAN RESOURCES ADMINISTRATION,2023,2997638
DEPARTMENT OF SANITATION,LEGAL AFFAIRS,2023,3192610
DEPARTMENT OF SANITATION,LOT CLEANING,2023,13792161
DEPARTMENT OF SANITATION,MAN EAST DIST # 10,2023,5585065
DEPARTMENT OF SANITATION,MAN EAST DIST # 11,2023,4994264
DEPARTMENT OF SANITATION,MAN EAST DIST # 3,2023,7910073
DEPARTMENT OF SANITATION,MAN EAST DIST # 5,2023,4716498
DEPARTMENT OF SANITATION,MAN EAST DIST # 6,2023,8343262
DEPARTMENT OF SANITATION,MAN EAST DIST # 8,2023,10977784
DEPARTMENT OF SANITATION,MAN EAST MECHANICAL BROOMS,2023,3132744
DEPARTMENT OF SANITATION,MAN WEST BORO OFFICE ADMIN,2023,5641911
DEPARTMENT OF SANITATION,MAN WEST DIST # 1,2023,4628075
DEPARTMENT OF SANITATION,MAN WEST DIST # 12,2023,9303264
DEPARTMENT OF SANITATION,MAN WEST DIST # 2,2023,5985090
DEPARTMENT OF SANITATION,MAN WEST DIST # 4,2023,6382955
DEPARTMENT OF SANITATION,MAN WEST DIST # 7,2023,10166119
DEPARTMENT OF SANITATION,MAN WEST DIST # 9,2023,4550697
DEPARTMENT OF SANITATION,MAN WEST MECHANICAL BROOMS,2023,2792480
DEPARTMENT OF SANITATION,MARINE TRANSPORT DIVISION,2023,41464
DEPARTMENT OF SANITATION,MARINE UNLOADING,2023,6100877
DEPARTMENT OF SANITATION,MOTOR EQUIPMENT ADMINISTRATION,2023,95221781
DEPARTMENT OF SANITATION,MTS DIV,2023,19447021
DEPARTMENT OF SANITATION,QUEENS NORTH BORO OFFICE ADMIN,2023,9979942
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 11,2023,10431013
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 7,2023,13938948
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 8,2023,10181683
DEPARTMENT OF SANITATION,QUEENS SOUTH BORO OFFICE ADMIN,2023,1213383
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #10,2023,9117918
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #12,2023,13199218
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #13,2023,13997932
DEPARTMENT OF SANITATION,QUEENS SOUTH DISTRICT #14,2023,7717555
DEPARTMENT OF SANITATION,QUEENS WEST BORO OFFICE ADMIN,2023,6499125
DEPARTMENT OF SANITATION,QUEENS WEST DIST #1,2023,10608428
DEPARTMENT OF SANITATION,QUEENS WEST DIST #2,2023,6730905
DEPARTMENT OF SANITATION,QUEENS WEST DIST #3,2023,7191194
DEPARTMENT OF SANITATION,QUEENS WEST DIST #4,2023,6636223
DEPARTMENT OF SANITATION,QUEENS WEST DIST #5,2023,12830929
DEPARTMENT OF SANITATION,QUEENS WEST DIST #6,2023,6143514
DEPARTMENT OF SANITATION,QUEENS WEST DIST #9,2023,8930573
DEPARTMENT OF SANITATION,SOLID WASTE MGMT AND PLANNING,2023,1062629
DEPARTMENT OF SANITATION,SOLID WASTE MGNT & LANDFILL PLANNING,2023,36445917
DEPARTMENT OF SANITATION,STATEN ISLAD BORO OFFICE ADMIN,2023,3359471
DEPARTMENT OF SANITATION,STATEN ISLAND DIST # 1,2023,16110554
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #2,2023,13233402
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #3,2023,15012699
DEPARTMENT OF SANITATION,SUPPORT OPERATIONS ENGR,2023,8636620
DEPARTMENT OF SANITATION,WASTE DISPOSAL ADMINISTRATION,2023,7765008
DEPARTMENT OF SANITATION,"WASTE PREVENTION, REUSE & RECYCLING",2023,31345512
DEPARTMENT OF SANITATION,,2023,579143716
DEPARTMENT OF SMALL BUSINESS SERVICES,ADMINISTRATIVE SERVICES,2023,4282784
DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT OF BUSINESS SERVICES,2023,20934862
DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVEL CAPITAL PROJECT,2023,3300000
DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPEMENT CORP,2023,15824665
DEPARTMENT OF SMALL BUSINESS SERVICES,EMPOWERMENT ZONE / EMPIRE ZONES,2023,0
DEPARTMENT OF SMALL BUSINESS SERVICES,FILM OFFICE,2023,0
DEPARTMENT OF SMALL BUSINESS SERVICES,FINANCIAL AND ECONOMIC OPP,2023,1801931
DEPARTMENT OF SMALL BUSINESS SERVICES,NEIGHBORHOOD ECONOMIC DEVELOPMENT,2023,12563205
DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT,2023,54918749
DEPARTMENT OF SMALL BUSINESS SERVICES,,2023,480635271
DEPARTMENT OF SOCIAL SERVICES,ADMIN/COMMR FIRST DEPUTY,2023,3277656
DEPARTMENT OF SOCIAL SERVICES,AUDIT SERVICES,2023,3183653
DEPARTMENT OF SOCIAL SERVICES,Benefits Reengineering,2023,984516
DEPARTMENT OF SOCIAL SERVICES,BUDGET ADMINISTRATION,2023,292032067
DEPARTMENT OF SOCIAL SERVICES,CEO - Evaluation,2023,951771
DEPARTMENT OF SOCIAL SERVICES,Citywide Health Insurance Access,2023,268133
DEPARTMENT OF SOCIAL SERVICES,Community Affairs and Immigrant Services,2023,17849622
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY AFFAIRS UNIT,2023,25892
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY CARE SENIOR SERV FLD,2023,63748445
DEPARTMENT OF SOCIAL SERVICES,Crisis and Disaster Management,2023,1188477
DEPARTMENT OF SOCIAL SERVICES,"Crisis, Disaster + Survivors",2023,325546800
DEPARTMENT OF SOCIAL SERVICES,CUSTOMIZED ASSISTANCE SERVICE,2023,16959828
DEPARTMENT OF SOCIAL SERVICES,DIVISION OF AIDS SERVICES,2023,246772375
DEPARTMENT OF SOCIAL SERVICES,End Gender Based Violence,2023,5418224
DEPARTMENT OF SOCIAL SERVICES,Fair Fares,2023,77531605
DEPARTMENT OF SOCIAL SERVICES,Fair Hearing,2023,18655790
DEPARTMENT OF SOCIAL SERVICES,FIA Employment and Contract Services,2023,305724185
DEPARTMENT OF SOCIAL SERVICES,FIA Executive Administration,2023,1961566
DEPARTMENT OF SOCIAL SERVICES,FIA Homeless Diversion,2023,71927024
DEPARTMENT OF SOCIAL SERVICES,FOOD STAMPS,2023,70702430
DEPARTMENT OF SOCIAL SERVICES,GENERAL COUNSEL/LEGAL AFFAIRS,2023,20694601
DEPARTMENT OF SOCIAL SERVICES,GENERAL SUPPORT SERVICES,2023,410695202
DEPARTMENT OF SOCIAL SERVICES,HASA HIV/AIDS SERVICES ADMINISTRATION,2023,66926347
DEPARTMENT OF SOCIAL SERVICES,HHS Connect,2023,3465083
DEPARTMENT OF SOCIAL SERVICES,Housing and Services,2023,24626532
DEPARTMENT OF SOCIAL SERVICES,Housing & Homeless Services/Initiatives,2023,137272344
DEPARTMENT OF SOCIAL SERVICES,*INACT ADULT SVCS ADULT INSTNS,2023,9054629
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT FIELD OPERATION,2023,130948524
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT PROGRAM,2023,1874110742
DEPARTMENT OF SOCIAL SERVICES,INVESTIGATION DIVISION,2023,74229102
DEPARTMENT OF SOCIAL SERVICES,Legal Assistance Initiatives,2023,2850435
DEPARTMENT OF SOCIAL SERVICES,MANAGEMENT INFORMATION SYSTEMS,2023,84029199
DEPARTMENT OF SOCIAL SERVICES,MAP-MEDICAID ELIGIBILITY,2023,0
DEPARTMENT OF SOCIAL SERVICES,MAP-MEDICAL ASSISTANCE PROGRAM,2023,6518574801
DEPARTMENT OF SOCIAL SERVICES,Mayor's Action Plan Outreach Team,2023,297280
DEPARTMENT OF SOCIAL SERVICES,MICSA-Home Care Services,2023,32945968
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medicaid Eligibility,2023,47854730
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medical Assistance Program,2023,5969945
DEPARTMENT OF SOCIAL SERVICES,MICSA-Program Support,2023,5273723
DEPARTMENT OF SOCIAL SERVICES,MUNICIPAL IDENTIFICATION CARD,2023,24198172
DEPARTMENT OF SOCIAL SERVICES,OAO Client Advocacy,2023,164016
DEPARTMENT OF SOCIAL SERVICES,OAO Community Outreach,2023,793653
DEPARTMENT OF SOCIAL SERVICES,Office of Child Support Enforcement,2023,37685580
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF COMMUNICATIONS AND MARKETING,2023,13039556
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF CONTRACTS,2023,8646943
DEPARTMENT OF SOCIAL SERVICES,Office of Evaluation and Research,2023,1693013
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANCE,2023,1068638
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANICAL MANAGEMENT,2023,7053719
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FISCAL OPERATIONS,2023,11729981
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF INTERGVTL AFFAIRS,2023,10552891
DEPARTMENT OF SOCIAL SERVICES,Office of Police Operations,2023,6308982
DEPARTMENT OF SOCIAL SERVICES,Office of Policy Procedures & Training,2023,13805095
DEPARTMENT OF SOCIAL SERVICES,Office of Program Accountability,2023,4459166
DEPARTMENT OF SOCIAL SERVICES,Office of Revenue and Admin (ORA),2023,14025854
DEPARTMENT OF SOCIAL SERVICES,OUTREACH REHOUSING & LANDLORD MANAGEMENT,2023,134943393
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL ADMINISTRATION,2023,935550
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL SERVICES,2023,15581358
DEPARTMENT OF SOCIAL SERVICES,Public Engagement,2023,17006355
DEPARTMENT OF SOCIAL SERVICES,PUBLIC/PRIVATE PARTNERSHIPS,2023,423774
DEPARTMENT OF SOCIAL SERVICES,PURCHASING MATERIALS MANAGEMNT,2023,82934
DEPARTMENT OF SOCIAL SERVICES,Quality Assurance & Fiscal Integrity,2023,8641148
DEPARTMENT OF SOCIAL SERVICES,REFERRALS AND EXTERNAL AFFAIRS,2023,6194490
DEPARTMENT OF SOCIAL SERVICES,SAVE,2023,1957403
DEPARTMENT OF SOCIAL SERVICES,,2023,118411117
DEPARTMENT OF TRANSPORTATION,ACCOUNTING MANAGEMENT,2023,12607318
DEPARTMENT OF TRANSPORTATION,ARTERIAL HIGHWAYS MAINTENANCE,2023,53335793
DEPARTMENT OF TRANSPORTATION,BOROUGH ENGINEERING,2023,29283273
DEPARTMENT OF TRANSPORTATION,BRIDGE EXECUTIVE MGMT + ADMIN,2023,17348410
DEPARTMENT OF TRANSPORTATION,BRIDGE INSPECTIONS + RESEARCH,2023,7066319
DEPARTMENT OF TRANSPORTATION,BRIDGE MAINTENANCE ENGINEERING,2023,41187911
DEPARTMENT OF TRANSPORTATION,BRIDGE REPAIRS/FLAGS,2023,31373735
DEPARTMENT OF TRANSPORTATION,BRIDGE + TUNNEL OPERATIONS,2023,5906625
DEPARTMENT OF TRANSPORTATION,BRONX MAINTENANCE ENGINEER,2023,18100941
DEPARTMENT OF TRANSPORTATION,BROOKLYN MAINTENANCE ENGINEER,2023,27263062
DEPARTMENT OF TRANSPORTATION,CAPITAL PLANNING,2023,7842730
DEPARTMENT OF TRANSPORTATION,CONSTRUCTION COORDINATION,2023,455
DEPARTMENT OF TRANSPORTATION,CONVERSION NAME,2023,4924
DEPARTMENT OF TRANSPORTATION,DEPUTY COMMISSIONER ADMIN,2023,18529432
DEPARTMENT OF TRANSPORTATION,EAST RIVER/MOVABLE BRIDGE ENGINEERING,2023,5532958
DEPARTMENT OF TRANSPORTATION,EEO + LABOR RELATIONS,2023,1689918
DEPARTMENT OF TRANSPORTATION,ENGINEERING PRE-AUDITS,2023,2914537
DEPARTMENT OF TRANSPORTATION,ENGINEERING SERVICES-TRANSIT,2023,2109230
DEPARTMENT OF TRANSPORTATION,"EXECUTIVE MANAGEMENT, HIGHWAYS",2023,116013517
DEPARTMENT OF TRANSPORTATION,"EXECUTIVE MANAGEMENT, TRAFFIC",2023,40303891
DEPARTMENT OF TRANSPORTATION,FERRY MAINTENANCE + REPAIR,2023,12182995
DEPARTMENT OF TRANSPORTATION,FINANCIAL MANAGEMENT,2023,4439341
DEPARTMENT OF TRANSPORTATION,HIGHWAY DESIGN,2023,43608953
DEPARTMENT OF TRANSPORTATION,HWY INSP + QUALITY ASSURANCE,2023,16966900
DEPARTMENT OF TRANSPORTATION,LEGAL AFFAIRS,2023,11524660
DEPARTMENT OF TRANSPORTATION,MAINT ENGRG + OPERATIONS MGMT,2023,38660731
DEPARTMENT OF TRANSPORTATION,MANHATTAN MAINTENANCE,2023,9814095
DEPARTMENT OF TRANSPORTATION,MUNICIPAL FERRY SERVICE,2023,87929452
DEPARTMENT OF TRANSPORTATION,OFFICE OF THE COMMISSIONER,2023,21305957
DEPARTMENT OF TRANSPORTATION,OPER SUPPT/FACILITIES/COMMUNIC,2023,74736256
DEPARTMENT OF TRANSPORTATION,PARKING,2023,59195577
DEPARTMENT OF TRANSPORTATION,PERSONNEL + PAYROLL,2023,5691691
DEPARTMENT OF TRANSPORTATION,PLANNING AND RESEARCH,2023,26157869
DEPARTMENT OF TRANSPORTATION,QUEENS MAINTENANCE ENGINEER,2023,27802174
DEPARTMENT OF TRANSPORTATION,RICHMOND MAINTENANCE ENGINEER,2023,12811472
DEPARTMENT OF TRANSPORTATION,ROADWAY BRIDGE ENGINEERING,2023,6187163
DEPARTMENT OF TRANSPORTATION,ROADWAY DESIGN,2023,3449745
DEPARTMENT OF TRANSPORTATION,ROADWAY ENGINEERING CONSTR,2023,3274906
DEPARTMENT OF TRANSPORTATION,SAFETY ENGINEERING,2023,4687029
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSIT OPERATIONS,2023,5365069
DEPARTMENT OF TRANSPORTATION,TRAFFIC ENGINEERING MANAGEMENT,2023,8017712
DEPARTMENT OF TRANSPORTATION,TRAFFIC INTELLIGENCE DIVISION,2023,293558
DEPARTMENT OF TRANSPORTATION,TRAFFIC MANAGEMENT INFO SVCS,2023,5408800
DEPARTMENT OF TRANSPORTATION,TRAFFIC PLANNING,2023,6777866
DEPARTMENT OF TRANSPORTATION,TRAF SIGNALS + STREET LIGHTING,2023,345809183
DEPARTMENT OF TRANSPORTATION,TRANSIT OPERATIONS EXEC MGMT,2023,3357111
DEPARTMENT OF TRANSPORTATION,VEHICLE MAINTENANCE + REPAIR,2023,34512547
DEPARTMENT OF TRANSPORTATION,VIOLATION TOW PROGRAM,2023,0
DEPARTMENT OF TRANSPORTATION,,2023,-7567309
DEPARTMENT OF VETERANS' SERVICES,,2023,6060686
DEPARTMENT OF YOUTH & COMMUNITY DEV,ADMINISTRATION AND FINANCE,2023,421438604
DEPARTMENT OF YOUTH & COMMUNITY DEV,COMMUNITY DEVELOPMENT AGENCY,2023,117155185
DEPARTMENT OF YOUTH & COMMUNITY DEV,,2023,505498137
DEPT OF CONSUMER & WORKER PROTECTION,BUDGET AND ADMINISTRATION,2023,6793331
DEPT OF CONSUMER & WORKER PROTECTION,COMPLAINT/NEIGHBORHOOD OFFICES,2023,1295181
DEPT OF CONSUMER & WORKER PROTECTION,COMPUTER SERVICES,2023,5088536
DEPT OF CONSUMER & WORKER PROTECTION,FINANCE+MANAGEMENT,2023,3722062
DEPT OF CONSUMER & WORKER PROTECTION,LICENSE ISSUANCE,2023,4685664
DEPT OF CONSUMER & WORKER PROTECTION,OFFICE OF COMMISSIONER,2023,664502
DEPT OF CONSUMER & WORKER PROTECTION,OFF.OF.ASST.COM./GEN COUNSEL,2023,4642255
DEPT OF CONSUMER & WORKER PROTECTION,PERSONNEL,2023,492429
DEPT OF CONSUMER & WORKER PROTECTION,,2023,33029992
DISTRICT ATTORNEY BRONX COUNTY,EXECUTIVE MANAGEMENT,2023,82065067
DISTRICT ATTORNEY BRONX COUNTY,INVESTIGATIONS,2023,5659729
DISTRICT ATTORNEY BRONX COUNTY,,2023,11807833
DISTRICT ATTORNEY KINGS COUNTY,EXECUTIVE & MANAGERIAL,2023,111650059
DISTRICT ATTORNEY KINGS COUNTY,TRUST AND AGENCY,2023,185489
DISTRICT ATTORNEY KINGS COUNTY,,2023,15412920
DISTRICT ATTORNEY NEW YORK COUNTY,ACCOUNTING SERVICES,2023,1104348
DISTRICT ATTORNEY NEW YORK COUNTY,ADMINISTRATIVE SERVICES,2023,55865771
DISTRICT ATTORNEY NEW YORK COUNTY,CAREER CRIMINAL,2023,3113481
DISTRICT ATTORNEY NEW YORK COUNTY,CONVERSION NAME,2023,69987
DISTRICT ATTORNEY NEW YORK COUNTY,EXECUTIVE MANAGEMENT,2023,10631271
DISTRICT ATTORNEY NEW YORK COUNTY,INVESTIGATIVE SERVICES,2023,7666135
DISTRICT ATTORNEY NEW YORK COUNTY,LEGAL SERVICES,2023,54633825
DISTRICT ATTORNEY NEW YORK COUNTY,VICTIM WITNESS PROGRAM,2023,868645
DISTRICT ATTORNEY NEW YORK COUNTY,,2023,33059281
DISTRICT ATTORNEY QUEENS COUNTY,EXECUTIVE MANAGEMENT,2023,74665954
DISTRICT ATTORNEY QUEENS COUNTY,,2023,10306336
DISTRICT ATTORNEY RICHMOND COUNTY,EXECUTIVE MANAGEMENT,2023,16337863
DISTRICT ATTORNEY RICHMOND COUNTY,,2023,6859957
DISTRICTING COMMISSION,ADMINISTRATION,2023,412416
EQUAL EMPLOYMENT PRACTICES COMMISSION,EXECUTIVE,2023,1319974
EQUAL EMPLOYMENT PRACTICES COMMISSION,,2023,15656
FINANCIAL INFORMATION SERVICE AGENCY,ADMINISTRATIVE SERVICES,2023,861719
FINANCIAL INFORMATION SERVICE AGENCY,EXECUTIVE MANAGEMENT,2023,47578245
FINANCIAL INFORMATION SERVICE AGENCY,INFORMATION TECHNOLOGY,2023,44476369
FINANCIAL INFORMATION SERVICE AGENCY,,2023,23081289
FIRE DEPARTMENT,AFFIRMATIVE EMPLOYMENT,2023,1479703
FIRE DEPARTMENT,BICS,2023,20485031
FIRE DEPARTMENT,BRONX BOROUGH COMMAND,2023,205197984
FIRE DEPARTMENT,BROOKLYN BOROUGH COMMAND,2023,338146014
FIRE DEPARTMENT,BUDGET SERVICES,2023,1488685
FIRE DEPARTMENT,BUILDINGS,2023,10469350
FIRE DEPARTMENT,BUREAU MANAGEMENT,2023,5803478
FIRE DEPARTMENT,CHIEF OF DEPT BUR OF OPERATION,2023,10876010
FIRE DEPARTMENT,CONVERSION NAME,2023,998567
FIRE DEPARTMENT,DEPUTY COMMISSIONER OF ADMINIS,2023,236469
FIRE DEPARTMENT,DISPATCHERS,2023,16635148
FIRE DEPARTMENT,DIST ORGANIZATION INSPECTION,2023,9311306
FIRE DEPARTMENT,EMERGENCY MEDICAL SERVICES,2023,287818672
FIRE DEPARTMENT,FIRE COMMUNICATIONS,2023,807256
FIRE DEPARTMENT,FIRE INVESTIGATIONS,2023,23252213
FIRE DEPARTMENT,FIRST DEPUTY COMMISSIONER,2023,298953
FIRE DEPARTMENT,FISCAL SERVICES,2023,107347334
FIRE DEPARTMENT,FLEET MAINTENANCE,2023,24204271
FIRE DEPARTMENT,HAZARDOUS MATERIALS UNIT,2023,8063860
FIRE DEPARTMENT,HEADQUARTER INSPECTION,2023,15464896
FIRE DEPARTMENT,HEALTH SERVICES,2023,7047226
FIRE DEPARTMENT,HUM RES DEV PUBLIC CERTIFICAT,2023,1987518
FIRE DEPARTMENT,INTERGOVERNMENTAL AFFAIRS,2023,1067870
FIRE DEPARTMENT,INVESTIGATIONS AND TRIALS,2023,1090680
FIRE DEPARTMENT,LABOR RELATIONS,2023,339808
FIRE DEPARTMENT,LEGAL,2023,4560705
FIRE DEPARTMENT,MANAGEMENT POLICY AND REVIEW,2023,784156
FIRE DEPARTMENT,MANAGEMENT SUPPORT STAFF,2023,1140665
FIRE DEPARTMENT,MANHATTAN BOROUGH COMMAND,2023,261991815
FIRE DEPARTMENT,MARINE DIVISION,2023,15209212
FIRE DEPARTMENT,MASK SERVICE UNIT,2023,4880374
FIRE DEPARTMENT,OFFICE OF THE FIRE COMM,2023,4024104
FIRE DEPARTMENT,OPERATION SUPPORT STAFF,2023,4280147
FIRE DEPARTMENT,PERSONNEL,2023,5640630
FIRE DEPARTMENT,QUEENS BOROUGH COMMAND,2023,281125011
FIRE DEPARTMENT,RESCUE SERVICES,2023,47710961
FIRE DEPARTMENT,SAFETY UNIT,2023,2137040
FIRE DEPARTMENT,STATEN ISLAND BOROUGH COMMAND,2023,104912984
FIRE DEPARTMENT,SUPPORT SERVICES,2023,1666080
FIRE DEPARTMENT,TECHNOLOGY MANAGEMENT,2023,5996046
FIRE DEPARTMENT,TRAINING,2023,11127722
FIRE DEPARTMENT,,2023,649163340
HEALTH AND HOSPITALS CORP,HEALTH & HOSPITALS CORP,2023,825353411
HEALTH AND HOSPITALS CORP,,2023,1878470766
HOUSING PRESERVATION AND DEVELOPMENT,ADMINISTRATION,2023,32946300
HOUSING PRESERVATION AND DEVELOPMENT,ALTERNATIVE MGMT PROGRAMS,2023,10804920
HOUSING PRESERVATION AND DEVELOPMENT,COMMISSIONER'S OFFICE,2023,8219443
HOUSING PRESERVATION AND DEVELOPMENT,DEMOLITION & SEALING,2023,29374019
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-DEVELOPMENT,2023,19118658
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-HOUSING MGMT & SALES,2023,3220462
HOUSING PRESERVATION AND DEVELOPMENT,DEP COM-HOUSING PRESERVATION,2023,255374
HOUSING PRESERVATION AND DEVELOPMENT,DESIGN & CONSTRUCTION,2023,10760882
HOUSING PRESERVATION AND DEVELOPMENT,DPM-RELOCATION,2023,373528
HOUSING PRESERVATION AND DEVELOPMENT,EVALUATION & COMPLIANCE-CNT OP,2023,955098
HOUSING PRESERVATION AND DEVELOPMENT,FED AFFAIRS & POLICY DEV,2023,1538970
HOUSING PRESERVATION AND DEVELOPMENT,FISCAL & BUDGET AFFAIRS,2023,9089244
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING AUTHORITY PROJECTS,2023,321589029
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING LITIGATION BUREAU,2023,11215743
HOUSING PRESERVATION AND DEVELOPMENT,"HOUSING,PRODUCTION & FINANCE",2023,582961590
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING SUPERVISION,2023,6891138
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING SUPERVISION-OHP,2023,10773601
HOUSING PRESERVATION AND DEVELOPMENT,HOUSING VACANCY SURVEY IN OHP,2023,9475114
HOUSING PRESERVATION AND DEVELOPMENT,LEGAL AFFAIRS,2023,6028008
HOUSING PRESERVATION AND DEVELOPMENT,MAINTENANCE&FINANCEIAL OPS,2023,671268
HOUSING PRESERVATION AND DEVELOPMENT,NEIGHBORHOOD PRESERVATION,2023,5362700
HOUSING PRESERVATION AND DEVELOPMENT,OHP-CODE ENFORCEMENT,2023,128829128
HOUSING PRESERVATION AND DEVELOPMENT,PLANNING,2023,32358477
HOUSING PRESERVATION AND DEVELOPMENT,PROPERTY MANAGEMENT,2023,52421202
HOUSING PRESERVATION AND DEVELOPMENT,RENT SUBSIDIES,2023,3243181
HOUSING PRESERVATION AND DEVELOPMENT,,2023,127952798
INDEPENDENT BUDGET OFFICE,CONVERSION NAME,2023,5897197
INDEPENDENT BUDGET OFFICE,,2023,769666
LANDMARKS PRESERVATION COMM.,LANDMARKS PRESERVATION COMM,2023,6756926
LANDMARKS PRESERVATION COMM.,,2023,298898
LAW DEPARTMENT,ADMINISTRATIVE LAW,2023,4377486
LAW DEPARTMENT,ADMINISTRATIVE SERVICES DIV,2023,104869212
LAW DEPARTMENT,AFFIRMATIVE LITIGATION,2023,5386398
LAW DEPARTMENT,APPEALS,2023,5079402
LAW DEPARTMENT,COMMERCIAL LITIGATION,2023,4928909
LAW DEPARTMENT,CONTRACTS + REAL ESTATE,2023,1514009
LAW DEPARTMENT,ECONOMIC DEVELOPMENT DIVISION,2023,1729413
LAW DEPARTMENT,ENVIRONMENTAL LAW,2023,467769
LAW DEPARTMENT,EXECUTIVE,2023,15780845
LAW DEPARTMENT,FAMILY COURT,2023,11306663
LAW DEPARTMENT,GENERAL LITIGATION,2023,4855207
LAW DEPARTMENT,LEGAL COUNSEL,2023,4017108
LAW DEPARTMENT,LITIGATION SUPPORT,2023,2827002
LAW DEPARTMENT,MANAGEMENT INFORMATION SVCS,2023,12809279
LAW DEPARTMENT,MUNICIPAL FINANCE,2023,708973
LAW DEPARTMENT,OPERATIONS SUPPORT DIVISION,2023,4908613
LAW DEPARTMENT,TORT,2023,30403232
LAW DEPARTMENT,WORKERS' COMPENSATION,2023,10542252
LAW DEPARTMENT,,2023,42158406
MANHATTAN COMMUNITY BOARD #1,MANHATTAN COMMUNITY BOARD #1,2023,379647
MANHATTAN COMMUNITY BOARD #1,,2023,5500
MANHATTAN COMMUNITY BOARD #10,MANHATTAN COMMUNITY BOARD #10,2023,432789
MANHATTAN COMMUNITY BOARD #10,,2023,11000
MANHATTAN COMMUNITY BOARD #11,MANHATTAN COMMUNITY BOARD # 11,2023,353498
MANHATTAN COMMUNITY BOARD #11,,2023,15000
MANHATTAN COMMUNITY BOARD #12,MANHATTAN COMMUNITY BOARD # 12,2023,430117
MANHATTAN COMMUNITY BOARD #12,,2023,18500
MANHATTAN COMMUNITY BOARD #2,MANHATTAN COMMUNITY BOARD #2,2023,388795
MANHATTAN COMMUNITY BOARD #2,,2023,5500
MANHATTAN COMMUNITY BOARD #3,MANHATTAN COMMUNITY BOARD #3,2023,392645
MANHATTAN COMMUNITY BOARD #3,,2023,14751
MANHATTAN COMMUNITY BOARD #4,MANHATTAN COMMUNITY BOARD # 4,2023,400742
MANHATTAN COMMUNITY BOARD #4,,2023,6000
MANHATTAN COMMUNITY BOARD #5,MANHATTAN COMMUNITY BOARD # 5,2023,357192
MANHATTAN COMMUNITY BOARD #5,,2023,6000
MANHATTAN COMMUNITY BOARD #6,MANHATTAN COMMUNITY BOARD #6,2023,552576
MANHATTAN COMMUNITY BOARD #6,,2023,10000
MANHATTAN COMMUNITY BOARD #7,MANHATTAN COMMUNITY BOARD # 7,2023,389313
MANHATTAN COMMUNITY BOARD #7,,2023,3500
MANHATTAN COMMUNITY BOARD #8,MANHATTAN COMMUNITY BOARD # 8,2023,429060
MANHATTAN COMMUNITY BOARD #8,,2023,15000
MANHATTAN COMMUNITY BOARD #9,MANHATTAN COMMUNITY BOARD # 9,2023,389123
MANHATTAN COMMUNITY BOARD #9,,2023,16000
MAYORALTY,1ST DEP DIR: OFFICE OF BUDGET REVIEW,2023,17879149
MAYORALTY,COUNSEL TO THE MAYOR,2023,3752687
MAYORALTY,CRIMINAL JUSTICE COORDINATOR,2023,10705522
MAYORALTY,DEP DIR: EXPENSE & CAPITAL TAKSFORCES-A,2023,2471025
