agency_name,responsibility_center_name,fiscal_year,total_budget
POLICE DEPARTMENT,TWENTY EIGHTH PRECINCT,2019,45558714
POLICE DEPARTMENT,TWENTY FIFTH PRECINCT,2019,43105026
POLICE DEPARTMENT,TWENTY FOURTH PRECINCT,2019,38918844
POLICE DEPARTMENT,TWENTY SIXTH PRECINCT,2019,34926197
POLICE DEPARTMENT,TWENTY THIRD PRECINCT,2019,45934712
POLICE DEPARTMENT,WARRANT DIVISION,2019,5732067
POLICE DEPARTMENT,,2019,2312255783
PUBLIC ADMINISTRATOR-BRONX COUNTY,PUBLIC ADMINISTRATOR-BRONX,2019,1938821
PUBLIC ADMINISTRATOR-BRONX COUNTY,,2019,233383
PUBLIC ADMINISTRATOR-KINGS COUNTY,PUBLIC ADMINISTRATOR-KINGS,2019,2387884
PUBLIC ADMINISTRATOR-KINGS COUNTY,,2019,167306
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,PUBLIC ADMINISTRATOR-NY,2019,8292049
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,,2019,300017
PUBLIC ADMINISTRATOR- QUEENS COUNTY,PUBLIC ADMINISTRATOT-QUEENS,2019,1715502
PUBLIC ADMINISTRATOR- QUEENS COUNTY,,2019,146481
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,PUBLIC ADMINISTRATOR-RICHMOND,2019,1389548
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,,2019,184387
PUBLIC ADVOCATE,PUBLIC ADVOCATE,2019,13396725
PUBLIC ADVOCATE,,2019,-2535735
QUEENS BOROUGH PUBLIC LIBRARY,QUEENS PUBLIC LIBRARY,2019,318147884
QUEENS BOROUGH PUBLIC LIBRARY,,2019,3168917
QUEENS COMMUNITY BOARD #1,QUEENS COMMUNITY BOARD #1,2019,815394
QUEENS COMMUNITY BOARD #1,,2019,121281
QUEENS COMMUNITY BOARD #10,QUEENS COMMUNITY BOARD # 10,2019,847205
QUEENS COMMUNITY BOARD #11,QUEENS COMMUNITY BOARD # 11,2019,948640
QUEENS COMMUNITY BOARD #12,QUEENS COMMUNITY BOARD # 12,2019,878097
QUEENS COMMUNITY BOARD #13,QUEENS COMMUNITY BOARD #13,2019,830032
QUEENS COMMUNITY BOARD #14,QUEENS COMMUNITY BOARD #14,2019,789311
QUEENS COMMUNITY BOARD #2,QUEENS COMMUNITY BOARD #2,2019,946836
QUEENS COMMUNITY BOARD #3,QUEENS COMMUNITY BOARD # 3,2019,993639
QUEENS COMMUNITY BOARD #3,,2019,3687
QUEENS COMMUNITY BOARD #4,QUEENS COMMUNITY BOARD #4,2019,857778
QUEENS COMMUNITY BOARD #5,QUEENS COMMUNITY BOARD #5,2019,820606
QUEENS COMMUNITY BOARD #6,QUEENS COMMUNITY BOARD #6,2019,874197
QUEENS COMMUNITY BOARD #7,QUEENS COMMUNITY BOARD #7,2019,967553
QUEENS COMMUNITY BOARD #8,QUEENS COMMUNITY BOARD #8,2019,967025
QUEENS COMMUNITY BOARD #9,QUEENS COMMUNITY BOARD #9,2019,710412
STATEN ISLAND COMMUNITY BOARD #1,STATEN ISLAND COMMUNITY BD #1,2019,883155
STATEN ISLAND COMMUNITY BOARD #2,STATEN ISLAND COMMUNITY BD #2,2019,843102
STATEN ISLAND COMMUNITY BOARD #3,STATEN ISLAND COMMUNITY BOARD3,2019,1027250
ADMIN FOR CHILDREN'S SERVICES,ACS ADMINISTRATION,2020,625637693
ADMIN FOR CHILDREN'S SERVICES,ADOPTION SERVICES,2020,819132549
ADMIN FOR CHILDREN'S SERVICES,ALTERNATIVES TO DETENTION,2020,14140306
ADMIN FOR CHILDREN'S SERVICES,CHILD CARE SERVICES,2020,2717650747
ADMIN FOR CHILDREN'S SERVICES,CHILD WELFARE SUPPORT,2020,161696181
ADMIN FOR CHILDREN'S SERVICES,FOSTER CARE SERVICES,2020,2096611743
ADMIN FOR CHILDREN'S SERVICES,HEAD START,2020,533200599
ADMIN FOR CHILDREN'S SERVICES,JUVENILE JUSTICE SUPPORT,2020,37755536
ADMIN FOR CHILDREN'S SERVICES,NON-SECURE DETENTION,2020,60605305
ADMIN FOR CHILDREN'S SERVICES,OCFS RESIDENTIAL PLACEMENTS,2020,437496091
ADMIN FOR CHILDREN'S SERVICES,PREVENTIVE SERVICES,2020,1062457535
ADMIN FOR CHILDREN'S SERVICES,PROTECTIVE SERVICES,2020,1009434101
ADMIN FOR CHILDREN'S SERVICES,,2020,749310
BOARD OF CORRECTION,BOARD OF CORRECTION,2020,9081431
BOARD OF CORRECTION,,2020,-468204
BOARD OF ELECTIONS,CHIEF CLERK - BRONX,2020,6722299
BOARD OF ELECTIONS,CHIEF CLERK - BROOKLYN,2020,9755942
BOARD OF ELECTIONS,CHIEF CLERK - MANHATTAN,2020,8839681
BOARD OF ELECTIONS,CHIEF CLERK - QUEENS,2020,7562961
BOARD OF ELECTIONS,CHIEF CLERK - RICHMOND,2020,3775654
BOARD OF ELECTIONS,DATA PROCESSING,2020,8228320
BOARD OF ELECTIONS,DEPARTMENTAL OPERATIONS,2020,345106125
BOARD OF ELECTIONS,EXECUTIVE MANAGEMENT,2020,800489
BOARD OF ELECTIONS,FINANCE OFFICE,2020,74055960
BOARD OF ELECTIONS,,2020,-23013405
BOROUGH PRESIDENT BRONX,OFFICE OF THE BOROUGH PRES,2020,26302204
BOROUGH PRESIDENT BRONX,,2020,-7911834
BOROUGH PRESIDENT - BROOKLYN,OFFICE OF THE BOROUGH PRES,2020,20276121
BOROUGH PRESIDENT - BROOKLYN,,2020,269033
BOROUGH PRESIDENT - MANHATTAN,OFFICE OF THE BOROUGH PRESIDEN,2020,15411310
BOROUGH PRESIDENT - MANHATTAN,,2020,0
BOROUGH PRESIDENT - QUEENS,OFFICE OF THE BOROUGH PRES,2020,17092429
BOROUGH PRESIDENT - QUEENS,,2020,2352752
BOROUGH PRESIDENT STATEN ISLAND,OFFICE OF THE BORO PRES,2020,20659385
BOROUGH PRESIDENT STATEN ISLAND,,2020,-6727089
BRONX COMMUNITY BOARD #1,BRONX COMMUNITY BOARD #1,2020,1051755
BRONX COMMUNITY BOARD #10,BRONX COMMUNITY BOARD #10,2020,1074902
BRONX COMMUNITY BOARD #11,BRONX COMMUNITY BOARD # 11,2020,1033484
BRONX COMMUNITY BOARD #12,BRONX COMMUNITY BOARD # 12,2020,873608
BRONX COMMUNITY BOARD #2,BRONX COMMUNITY BOARD #2,2020,1025333
BRONX COMMUNITY BOARD #3,BRONX COMMUNITY BOARD #3,2020,1047205
BRONX COMMUNITY BOARD #4,BRONX COMMUNITY BOARD #4,2020,898715
BRONX COMMUNITY BOARD #5,BRONX COMMUNITY BOARD #5,2020,858209
BRONX COMMUNITY BOARD #5,,2020,2049
BRONX COMMUNITY BOARD #6,BRONX COMMUNITY BOARD #6,2020,858209
BRONX COMMUNITY BOARD #7,BRONX COMMUNITY BOARD NO. 7,2020,1039329
BRONX COMMUNITY BOARD #8,BRONX COMMUNITY BOARD #8,2020,1033280
BRONX COMMUNITY BOARD #9,BRONX COMMUNITY BOARD #9,2020,1068725
BROOKLYN COMMUNITY BOARD #1,BROOKLYN COMMUNITY BOARD #1,2020,1080320
BROOKLYN COMMUNITY BOARD #10,BROOKLYN COMMUNITY BOARD NO.10,2020,1149549
BROOKLYN COMMUNITY BOARD #11,BROOKLYN COMMUNITY BOARD #11,2020,1064913
BROOKLYN COMMUNITY BOARD #12,BROOKLYN COMMUNITY BOARD #12,2020,1118928
BROOKLYN COMMUNITY BOARD #13,BROOKLYN COMMUNITY BOARD #13,2020,1044862
BROOKLYN COMMUNITY BOARD #14,BROOKLYN COMMUNITY BOARD #14,2020,1114489
BROOKLYN COMMUNITY BOARD #15,BROOKLYN COMMUNITY BOARD #15,2020,858209
BROOKLYN COMMUNITY BOARD #16,BROOKLYN COMMUNITY BOARD #16,2020,969218
BROOKLYN COMMUNITY BOARD #17,BROOKLYN COMMUNITY BOARD #17,2020,1158321
BROOKLYN COMMUNITY BOARD #18,BROOKLYN COMMUNITY BOARD #18,2020,858215
BROOKLYN COMMUNITY BOARD #2,BROOKLYN COMMUNITY BOARD #2,2020,1069577
BROOKLYN COMMUNITY BOARD #3,BROOKLYN COMMUNITY BOARD #3,2020,1037694
BROOKLYN COMMUNITY BOARD #4,BROOKLYN COMMUNITY BOARD #4,2020,1045175
BROOKLYN COMMUNITY BOARD #5,BROOKLYN COMMUNITY BOARD #5,2020,858209
BROOKLYN COMMUNITY BOARD #6,BROOKLYN COMMUNITY BOARD #6,2020,905981
BROOKLYN COMMUNITY BOARD #7,BROOKLYN COMMUNITY BOARD # 7,2020,913709
BROOKLYN COMMUNITY BOARD #8,BROOKLYN COMMUNITY BOARD #8,2020,1081524
BROOKLYN COMMUNITY BOARD #9,BROOKLYN COMMUNITY BOARD #9,2020,1178662
BROOKLYN PUBLIC LIBRARY,BROOKLYN PUBLIC LIBRARY,2020,331069569
BROOKLYN PUBLIC LIBRARY,,2020,1068800
BUSINESS INTEGRITY COMMISSION,EXECUTIVE AND OPERATIONS,2020,1489704
BUSINESS INTEGRITY COMMISSION,FINANCE & ADMINISTRATION,2020,11871860
BUSINESS INTEGRITY COMMISSION,LEGAL/ENFRCEMENT/INVESTIGATION,2020,13440256
BUSINESS INTEGRITY COMMISSION,,2020,598500
CAMPAIGN FINANCE BOARD,EXECUTIVE DIRECTOR,2020,66790737
CAMPAIGN FINANCE BOARD,,2020,18844418
CITY CLERK,EMMANUEL MICHALOS,2020,17813229
CITY CLERK,,2020,-134306
CITY COUNCIL,CMTEE ON CIVIL SERV & LABOR,2020,6
CITY COUNCIL,CMTEE ON ECONOMIC DEVELOPMENT,2020,6
CITY COUNCIL,CMTEE ON ENVIRON PROTECTION,2020,6
CITY COUNCIL,CMTEE ON GOV'T OPERATIONS,2020,6
CITY COUNCIL,CMTEE ON HIGHER EDUCATION,2020,6
CITY COUNCIL,CMTEE ON HOUSING & BUILDINGS,2020,3
CITY COUNCIL,CMTEE ON HOUSING + BUILDINGS,2020,3
CITY COUNCIL,CMTEE ON INT'L INTERGROUP,2020,3
CITY COUNCIL,CMTEE ON LOWER MANHATTAN REDEVELOPMENT,2020,6
CITY COUNCIL,CMTEE ON PARKS REC REC + CULT,2020,3
CITY COUNCIL,CMTEE ON RULES PRIV & ELECT,2020,3
CITY COUNCIL,CMTEE ON RULES PRIV + ELECT,2020,3
CITY COUNCIL,CMTEE ON STANDARDS & ETHICS,2020,6
CITY COUNCIL,CMTEE ON STATE AND FED LEG,2020,6
CITY COUNCIL,COMM FIRE & CRIM JUSTICE OTPS,2020,3
CITY COUNCIL,COMMITTEE EDUCATION,2020,3
CITY COUNCIL,COMMITTEE ON CIVIL RIGHTS,2020,6
CITY COUNCIL,COMMITTEE ON CONSUMER AFFAIRS,2020,6
CITY COUNCIL,COMMITTEE ON CONTRACTS,2020,6
CITY COUNCIL,COMMITTEE ON EDUCATION,2020,3
CITY COUNCIL,COMMITTEE ON FINANCE,2020,6
CITY COUNCIL,COMMITTEE ON GENERAL WELFARE,2020,6
CITY COUNCIL,COMMITTEE ON HEALTH,2020,6
CITY COUNCIL,COMMITTEE ON JUVENILE JUSTICE,2020,6
CITY COUNCIL,COMMITTEE ON LAND USE,2020,6
CITY COUNCIL,COMMITTEE ON OVERSIGHT & INVESTIGATIONS,2020,6
CITY COUNCIL,COMMITTEE ON PUBLIC SAFETY,2020,6
CITY COUNCIL,COMMITTEE ON SANITATION & SOLIDWASTE MGT,2020,6
CITY COUNCIL,COMMITTEE ON THE AGING,2020,6
CITY COUNCIL,COMMITTEE ON TRANSPORTATION,2020,6
CITY COUNCIL,COMMITTEE ON WOMEN'S ISSUES,2020,6
CITY COUNCIL,COMMITTEE ON YOUTH SERVICES,2020,6
CITY COUNCIL,COMMITTEE STAFFING,2020,46284698
CITY COUNCIL,COMM ON FIRE & CRIM JUSTICE,2020,3
CITY COUNCIL,COUNCIL MEMBERS,2020,88551700
CITY COUNCIL,COUNCIL SERVICES DIVISION,2020,37059166
CITY COUNCIL,"CULT. AFFAIRS, LIB. & INT'L INTGRP. REL",2020,6
CITY COUNCIL,"MEN HLTH, RET, ALC,DRUG ABUSE & DIS SVCS",2020,6
CITY COUNCIL,OTPS CENTRAL STAFF,2020,38213425
CITY COUNCIL,OTPS COUNCIL MEMBERS,2020,19300000
CITY COUNCIL,,2020,16959904
CITY UNIVERSITY OF NEW YORK,BRONX COMMUNITY COLL,2020,307290074
CITY UNIVERSITY OF NEW YORK,CENTRALIZED COSTS,2020,1527181879
CITY UNIVERSITY OF NEW YORK,HOSTOS COMMUNITY COLL,2020,211112168
CITY UNIVERSITY OF NEW YORK,HUNTER CAMPUS SCHOOLS,2020,56197843
CITY UNIVERSITY OF NEW YORK,KINGSBOROUGH COMMUNITY COLL,2020,311215487
CITY UNIVERSITY OF NEW YORK,LA GUARDIA COMMUNITY COLL,2020,418546650
CITY UNIVERSITY OF NEW YORK,MANHATTAN COMMUNITY COLLEGE,2020,574732972
CITY UNIVERSITY OF NEW YORK,NEW COMMUNITY COLLEGE,2020,77277978
CITY UNIVERSITY OF NEW YORK,QUEENSBOROUGH COMMUNITY COLL,2020,349772246
CITY UNIVERSITY OF NEW YORK,SENIOR COLLEGES,2020,105000000
CITY UNIVERSITY OF NEW YORK,,2020,10954216
CITYWIDE SAVINGS INITIATIVES,,2020,0
CIVILIAN COMPLAINT REVIEW BOARD,CIVILIAN COMPLAINT REVIEW BRD.,2020,36314845
CIVILIAN COMPLAINT REVIEW BOARD,,2020,17150787
CIVIL SERVICE COMMISSION,ADMINISTRATIVE-OTPS,2020,218223
CIVIL SERVICE COMMISSION,EXECUTIVE,2020,3100012
COMMISSION ON HUMAN RIGHTS,AGENCY OPERATIONS,2020,41710727
COMMISSION ON HUMAN RIGHTS,,2020,-472213
CONFLICTS OF INTEREST BOARD,DEPARTMENTAL OPERATIONS,2020,7963321
CONFLICTS OF INTEREST BOARD,,2020,0
DEBT SERVICE,INTEREST ON FUNDED DEBT,2020,5276002856
DEBT SERVICE,REDEMPTION OF FUNDED DEBT,2020,4451627094
DEBT SERVICE,,2020,5744928397
DEPARTMENT FOR THE AGING,ADMIN FISCAL AND BUDGET,2020,8136808
DEPARTMENT FOR THE AGING,BUREAU OF COMMUNITY SERVICES,2020,38678257
DEPARTMENT FOR THE AGING,CITY WIDE,2020,1028849916
DEPARTMENT FOR THE AGING,CONTRACT MANAGEMENT SERVICES,2020,5880614
DEPARTMENT FOR THE AGING,EXECUTIVE,2020,73853644
DEPARTMENT FOR THE AGING,FOSTER GRANDPARENTS,2020,5700327
DEPARTMENT FOR THE AGING,INFORMATION/REFERRAL,2020,3272985
DEPARTMENT FOR THE AGING,OFFICE OF SPECIAL PROJECT,2020,1334253
DEPARTMENT FOR THE AGING,PROGRAM AND RESOURCES DEV,2020,16524534
DEPARTMENT FOR THE AGING,PUBLIC INFORMATION,2020,3714399
DEPARTMENT FOR THE AGING,RESEARCH AND PLANNING,2020,5114651
DEPARTMENT FOR THE AGING,,2020,1314991
DEPARTMENT OF BUILDINGS,BROOKLYN BOROUGH OFFICE,2020,15058503
DEPARTMENT OF BUILDINGS,CENTRAL INSPECTION,2020,81503823
DEPARTMENT OF BUILDINGS,EXECUTIVE OFFICES,2020,17059582
DEPARTMENT OF BUILDINGS,OPERATIONS AND TECHNICAL,2020,105007019
DEPARTMENT OF BUILDINGS,POLICY AND ADMINISTRATION,2020,73798253
DEPARTMENT OF BUILDINGS,QUEENS BOROUGH OFFICE,2020,34842382
DEPARTMENT OF BUILDINGS,RICHMOND BOROUGH OFFICE,2020,3642063
DEPARTMENT OF BUILDINGS,STATEN ISLAND BOROUGH OFFICE,2020,10228410
DEPARTMENT OF BUILDINGS,,2020,257880887
DEPARTMENT OF CITY PLANNING,DEPT OF CITY PLANNING,2020,63328915
DEPARTMENT OF CITY PLANNING,,2020,90821319
DEPARTMENT OF CITYWIDE ADMIN SERVICE,AGENCY CHIEF CONTRACTING OFFICER,2020,19598335
DEPARTMENT OF CITYWIDE ADMIN SERVICE,BQA LABORATORIES,2020,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CENTRAL STOREHOUSE,2020,97207033
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY MESSENGER SERVICE,2020,2288622
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY PUBLISHING CENTER,2020,8652642
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CONTRACT ADMIN,2020,1180073
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIVISION OF MUNI SUPPLY SERVICES,2020,6026937
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIV OF ADMINISTRATION AND SECURITY,2020,13840922
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DMSS PROCUREMENT,2020,9560645
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRES ADMIN,2020,569259
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRES PLANNING,2020,6669933
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRP FINANCIAL SERVICES,2020,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,ENERGY CONSERVATION,2020,2195058064
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE AND ADMINISTRATION,2020,116505575
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE DIVISION,2020,33226182
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MANAGEMENT,2020,423264838
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MGMT & CONST,2020,25358574
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FINANCE AND OPERATIONS,2020,6554725
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FLEET MGMT SERVICES,2020,20954437
DEPARTMENT OF CITYWIDE ADMIN SERVICE,GUIDE A RIDE HANDICAPPED ACCES,2020,646237
DEPARTMENT OF CITYWIDE ADMIN SERVICE,LEASE PAYMENT,2020,311674134
DEPARTMENT OF CITYWIDE ADMIN SERVICE,MGMT INFORMATION SERVICES,2020,38305917
DEPARTMENT OF CITYWIDE ADMIN SERVICE,PROPERTY MGMT LEASE OUT,2020,6242770
DEPARTMENT OF CITYWIDE ADMIN SERVICE,QUALITY ASSURANCE,2020,6700178
DEPARTMENT OF CITYWIDE ADMIN SERVICE,SURPLUS ACTIVITIES,2020,3232110
DEPARTMENT OF CITYWIDE ADMIN SERVICE,TELECOMMUNICATION CONTROL,2020,6415762
DEPARTMENT OF CITYWIDE ADMIN SERVICE,WORKERS EMPLOYMENT PROGRAM,2020,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,,2020,424564147
DEPARTMENT OF CONSUMER AFFAIRS,ADJUDICATION,2020,2020017
DEPARTMENT OF CONSUMER AFFAIRS,BUDGET AND ADMINISTRATION,2020,20321332
DEPARTMENT OF CONSUMER AFFAIRS,COMPLAINT/NEIGHBORHOOD OFFICES,2020,2584612
DEPARTMENT OF CONSUMER AFFAIRS,COMPUTER SERVICES,2020,11822622
DEPARTMENT OF CONSUMER AFFAIRS,FINANCE+MANAGEMENT,2020,12773865
DEPARTMENT OF CONSUMER AFFAIRS,LICENSE ISSUANCE,2020,21429179
DEPARTMENT OF CONSUMER AFFAIRS,OFFICE OF COMMISSIONER,2020,2049282
DEPARTMENT OF CONSUMER AFFAIRS,OFF.OF.ASST.COM./GEN COUNSEL,2020,3952062
DEPARTMENT OF CONSUMER AFFAIRS,PERSONNEL,2020,1139663
DEPARTMENT OF CONSUMER AFFAIRS,,2020,51406244
DEPARTMENT OF CORRECTION,ADOLESCENT RECEPTION DETEN CNT,2020,251532907
DEPARTMENT OF CORRECTION,ALTERNATIVES TO INCARCERATION,2020,8462389
DEPARTMENT OF CORRECTION,ANNA M KROSS CENTER,2020,255691769
DEPARTMENT OF CORRECTION,BELLEVUE HOSPITAL PRISON WARD,2020,30796530
DEPARTMENT OF CORRECTION,BNX HOUSE DETENTION FOR MEN,2020,1500
DEPARTMENT OF CORRECTION,BRONX COURT PENS,2020,22513920
DEPARTMENT OF CORRECTION,BROOKLYN COURT PENS,2020,5838414
DEPARTMENT OF CORRECTION,BROOKLYN HOUSE OF DETENT MEN,2020,69692032
DEPARTMENT OF CORRECTION,CAPITAL DEVEL SUPPORT SERVICES,2020,49703938
DEPARTMENT OF CORRECTION,CORRECTION INDUSTRIES,2020,14313926
DEPARTMENT OF CORRECTION,ELMHURST HOSPITAL PRISON WARD,2020,10463403
DEPARTMENT OF CORRECTION,GEORE R VIERNO CENTER,2020,169805777
DEPARTMENT OF CORRECTION,GEORGE MOTCHAN DENTENTION CNTR,2020,40143896
DEPARTMENT OF CORRECTION,HEALTH AFFAIRS SUB ABUSE +EDUC,2020,1995987
DEPARTMENT OF CORRECTION,HEALTH MANAGEMENT,2020,14114991
DEPARTMENT OF CORRECTION,INSPECTIONS,2020,4052166
DEPARTMENT OF CORRECTION,INVESTIGATIONS,2020,45881121
DEPARTMENT OF CORRECTION,JAMES A THOMAS CENTER,2020,1140075
DEPARTMENT OF CORRECTION,MANAGEMENT BUDGET + PLANNING,2020,354178645
DEPARTMENT OF CORRECTION,MANHATTAN COURT PENS,2020,3572979
DEPARTMENT OF CORRECTION,MANHATTAN DETENTION COMPLEX,2020,193164425
DEPARTMENT OF CORRECTION,NORTH INFIRMARY COMMAND,2020,44076895
DEPARTMENT OF CORRECTION,NYC CORRECTIONAL INSTIT MEN,2020,166412578
DEPARTMENT OF CORRECTION,OFFICE OF THE COMMISSIONER,2020,11044042
DEPARTMENT OF CORRECTION,OPERATIONS,2020,1350776278
DEPARTMENT OF CORRECTION,OTIS BANTUM CORRECTIONAL CNTR,2020,216044040
DEPARTMENT OF CORRECTION,PERSONNEL,2020,31240957
DEPARTMENT OF CORRECTION,PROGRAMS,2020,86128758
DEPARTMENT OF CORRECTION,QUEENS COURT PENS,2020,807603
DEPARTMENT OF CORRECTION,QUEENS HOUSE DETENTION FOR MEN,2020,27380655
DEPARTMENT OF CORRECTION,RI SUPPORT SERVICES,2020,63803944
DEPARTMENT OF CORRECTION,RI TELECOMMUNICATIONS,2020,34091299
DEPARTMENT OF CORRECTION,ROSE M SINGER CENTER,2020,139187073
DEPARTMENT OF CORRECTION,SPECIALIZED SERVICES,2020,78222274
DEPARTMENT OF CORRECTION,SPECIAL OPERATIONS DIVISION,2020,48521572
DEPARTMENT OF CORRECTION,TRAINING ACADEMY,2020,45682888
DEPARTMENT OF CORRECTION,TRANSPORTATION,2020,95027268
DEPARTMENT OF CORRECTION,,2020,161734173
DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER,2020,584181108
DEPARTMENT OF CULTURAL AFFAIRS,,2020,41342940
DEPARTMENT OF DESIGN & CONSTRUCTION,ADMINISTRATION,2020,66731684
DEPARTMENT OF DESIGN & CONSTRUCTION,ARCHITECTURE AND ENGINEERING,2020,24437753
DEPARTMENT OF DESIGN & CONSTRUCTION,EXECUTIVE,2020,164057444
DEPARTMENT OF DESIGN & CONSTRUCTION,INFRASTRUCTURE,2020,115404322
DEPARTMENT OF DESIGN & CONSTRUCTION,STRUCTURES,2020,75631796
DEPARTMENT OF DESIGN & CONSTRUCTION,TECHNICAL SUPPORT,2020,37708242
DEPARTMENT OF DESIGN & CONSTRUCTION,,2020,362925995
DEPARTMENT OF EDUCATION,BUDG OPER + REV-DEPT-WIDE COST,2020,0
DEPARTMENT OF EDUCATION,BUDG OPER + REV-HEAT LIGHT PWR,2020,0
DEPARTMENT OF EDUCATION,CHIEF EXECUTIVE FOR FACILITIES,2020,0
DEPARTMENT OF EDUCATION,CITY BOARD OF EDUCATION,2020,0
DEPARTMENT OF EDUCATION,DEPUTY CHANCELLOR FOR INSTRUCT,2020,0
DEPARTMENT OF EDUCATION,DIVISION OF BUSINESS + ADMIN,2020,0
DEPARTMENT OF EDUCATION,DIVISION OF HIGH SCHOOLS,2020,0
DEPARTMENT OF EDUCATION,MODULE 1-COMM SCH DIST ADMIN,2020,0
DEPARTMENT OF EDUCATION,MODULE 2-ELEM. INSTRUCTION,2020,0
DEPARTMENT OF EDUCATION,MODULE 2-J.H.S. INSTRUCTION,2020,0
DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION PROGRAM,2020,0
DEPARTMENT OF EDUCATION,REIMBURSABLE PROGRAMS,2020,0
DEPARTMENT OF EDUCATION,SCHOOL SAFETY PROGRAM,2020,0
DEPARTMENT OF EDUCATION,SPEC EDUC - BUSINESS & ADMIN,2020,0
DEPARTMENT OF EDUCATION,,2020,79304164953
DEPARTMENT OF EMERGENCY MANAGEMENT,ADMINISTRATION,2020,69262898
DEPARTMENT OF EMERGENCY MANAGEMENT,,2020,147740636
DEPARTMENT OF EMPLOYMENT,DOE ADMINISTRATION,2020,0
DEPARTMENT OF EMPLOYMENT,DOE EMPLOYMENT SERVICES,2020,0
DEPARTMENT OF EMPLOYMENT,,2020,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ACCO,2020,17819402
DEPARTMENT OF ENVIRONMENTAL PROTECT.,AIR NOISE AND HAZ MATERIALS,2020,102578142
DEPARTMENT OF ENVIRONMENTAL PROTECT.,CUSTOMER & CONSERVATION SERV,2020,172230444
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENGINEERING AUDITS,2020,6613758
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ASSESSMENT,2020,39941754
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ENGINEERING,2020,122481181
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENTAL HEALTH AND SAFETY,2020,51413916
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENT CONTROL BOARD,2020,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,EXECUTIVE + SUPPORT,2020,93815092
DEPARTMENT OF ENVIRONMENTAL PROTECT.,FLEET ADMINISTRATION,2020,19989656
DEPARTMENT OF ENVIRONMENTAL PROTECT.,GIARDIA SURVEILANCE,2020,937863
DEPARTMENT OF ENVIRONMENTAL PROTECT.,HUMAN RESOURCES MGMT,2020,10972100
DEPARTMENT OF ENVIRONMENTAL PROTECT.,LEGAL AND LEGISLATIVE AFFAIRS,2020,61417806
DEPARTMENT OF ENVIRONMENTAL PROTECT.,MANAGEMENT AND BUDGET,2020,124792453
DEPARTMENT OF ENVIRONMENTAL PROTECT.,PUBLIC AFFAIRS,2020,9139058
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WASTEWATER POLLUTION CONTROL,2020,1487206134
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER AND SEWER OPERATIONS SYS,2020,568614379
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER BOARD,2020,2667498
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER SUPPLY QUALITY PROTECT,2020,1118414116
DEPARTMENT OF ENVIRONMENTAL PROTECT.,,2020,344302549
DEPARTMENT OF FINANCE,ADMINISTRATION,2020,177329351
DEPARTMENT OF FINANCE,ASSESSMENTS,2020,2727595
DEPARTMENT OF FINANCE,AUDIT,2020,12371662
DEPARTMENT OF FINANCE,CITY COLLECTOR,2020,8374929
DEPARTMENT OF FINANCE,CITY REGISTER,2020,12657959
DEPARTMENT OF FINANCE,CITY SHERIFF,2020,49339149
DEPARTMENT OF FINANCE,ENFORCEMENT,2020,23279166
DEPARTMENT OF FINANCE,EXECUTIVE,2020,61261128
DEPARTMENT OF FINANCE,LEGAL AFFAIRS,2020,20183691
DEPARTMENT OF FINANCE,MANAGEMENT INFORMATION SERVICE,2020,121851414
DEPARTMENT OF FINANCE,PARKING VIOLATIONS OPERATIONS,2020,1038378
